"c(months[i], "" "")","c(""intercept"", ""structure effect"")","Estimate","Std. Error","Chisq","p","Estimate.1","Std. Error.1","Chisq.1","p1"
"01","intercept",-5.4903,1.7809,"5.27131630846926",0.0216796133145821,5.0936,2.6023,"0.0084390062240369",0.926806043597673
" ","structure effect",0.607,0.2644,"",NA,-0.027,0.2936,"",NA
"02","intercept",-3.9212,1.8276,"1.4083695936532",0.235327238602668,7.101,3.0342,"2.9336151027251",0.0867530330163941
" ","structure effect",0.5452,0.4594,"",NA,0.3594,0.2099,"",NA
"03","intercept",-0.0764,1.554,"8.59157792054165",0.00337721245766456,12.6034,2.4147,"2.75094329008422",0.0971970703823651
" ","structure effect",0.4974,0.1697,"",NA,0.5201,0.3136,"",NA
"04","intercept",5.2818,1.8006,"9.32855911335604",0.002256096871504,19.2688,1.9213,"18.3068177462913",1.8803302828028e-05
" ","structure effect",0.5502,0.1801,"",NA,1.2573,0.2938,"",NA
"05","intercept",11.6208,1.4629,"6.56036322367174",0.0104275079944117,23.4861,1.0321,"7.74524625444699",0.00538541163240135
" ","structure effect",0.4765,0.186,"",NA,0.7662,0.2753,"",NA
"06","intercept",15.4477,1.4725,"10.1284421694042",0.00145998749325124,26.3173,1.8163,"4.40139944110721",0.035909452165282
" ","structure effect",0.4328,0.136,"",NA,0.5885,0.2805,"",NA
"07","intercept",17.9001,1.2583,"4.46807515514553",0.0345338746363275,28.9382,1.2529,"3.57837456917033",0.0585364013089201
" ","structure effect",0.8492,0.4017,"",NA,0.6118,0.3234,"",NA
"08","intercept",17.0687,1.4296,"2.07124995084308",0.150098459885765,27.3855,1.146,"0.87463697323122",0.34967478892989
" ","structure effect",0.6517,0.4528,"",NA,0.3316,0.3546,"",NA
"09","intercept",13.3433,1.3898,"4.71088266955085",0.0299722587735025,23.719,1.4708,"2.66068406321156",0.102856490793361
" ","structure effect",0.8812,0.406,"",NA,0.3807,0.2334,"",NA
"10","intercept",7.2561,1.2599,"4.26650867090821",0.0388707182224294,17.2937,1.7003,"1.88898170356473",0.169316820112057
" ","structure effect",0.7889,0.3819,"",NA,0.3027,0.2202,"",NA
"11","intercept",1.2064,1.252,"4.22502000006049",0.0398321498067438,12.7856,1.8284,"2.75669495672848",0.0968481292547929
" ","structure effect",0.883,0.4296,"",NA,0.2567,0.1546,"",NA
"12","intercept",-2.8274,1.4841,"5.2864109638703",0.0214924701775002,7.5554,2.3766,"0.259986557810409",0.610129389910184
" ","structure effect",0.4314,0.1877,"",NA,-0.1149,0.2254,"",NA
